ondernemingsnummer;bedrijfsnaam;matchende_url
0223 944 690;MAATS. VR HET HAVEN-, GROND- EN INDUSTRIALISATIEBELEID V H;https://mlso.be/nl/over-mlso/intro
0477 809 231;VK STUDIO ARCHITECTS, PLANNERS AND DESIGNERS;https://www.vk-architects-engineers.com/nl
0213 894 205;MILIEUZORG ROESELARE EN MENEN, ROESELARE;https://www.mirom.be/
0403 621 057;SOCIAAL-MEDISCH INSTITUUT DER ZUIDERKEMPEN, SOMEDI;https://www.somedi.be/over-ons
0400 157 266;LIMA, NATUURVOEDINGSBEDRIJF - LIMA, MANUFACTURE D'ALIMENTS NATURELS;https://www.limafood.com/
0400 473 705;DREDGING, ENVIRONMENTAL & MARINE ENGINEERING;https://www.deme-group.com/
0859 669 428;SOJA, TOFU, TEMPEH PRODUCTEN;[]
0644 884 209;VRANCKEN & THIELEN, NOTARISVENNOOTSCHAP;[]
0443 974 443;DEVELOPPEMENT INTERNAT. MACHINE MECANIQUE DE L'EAU, DU FROID & DE;[]
0443 756 489;F. JENNES, J. BEHAEGHEL, P. DE NEEF - GERECHTSDEURWAARDERS;[]
0430 773 535;SOENEN H MACHINES, SERVICE AND PROTOTYPES;[]
0410 918 229;CULTURELE EN SOCIALE WERKEN SINT - VINCENTIUS, DEINZE;[]
0408 337 732;ANTOON & C°;[]
0407 560 742;ERKEND SOC. SECRETARIAAT ACCURIA VZW, NR 870, ERKEND VIA MB;[]
0416 267 085;ANTWERP BEVRACHTINGS-, EXPEDITIE EN STOUWERIJBEDRIJF;[]
0425 729 931;EG RETAIL (STATION SUPPORT°;[]
0438 710 610;OPSLAG, MANIPULATIE EN DISTRIBUTIE G.M.B.;[]
0476 692 642;LAMBERT, DRY CLEANING AND LAUNDRY EQUIPMENT;[]
0405 175 928;DE BRABANDERE, WINGENE;[]
0898 821 794;LIESBETH MULLER, NOTARIS;https://www.notariaatwaasmunster.be/
0889 789 908;JOHAN KIEBOOMS & FREDERIK VLAMINCK, GEASSOCIEERDE NOTARISSEN;https://www.amerikalei163.be/
0886 688 084;GEERINCKX & CALLEWAERT, GEASSOCIEERDE NOTARISSEN;https://notarisgeerinckx.be/
0881 357 242;BOX²;https://www.made-in.be/bedrijven/box/
0880 920 148;MORRENS, COELST & SOMERS, NOTARISSEN;https://www.notaris-morrens.be/
0880 669 037;MOSTAERT, MAERE & VAN ELSLANDE;https://mmve-notarissen.be/
0864 516 557;ISIS VERMANDER & SASHA DEWITTE, GEASSOCIEERDE NOTARISSEN;https://www.notariaatwuustwezel.be/
0863 358 693;MICHOEL, MICHOEL & BREMANS;https://www.notaris-michoel.be/
0845 728 449;DE COCK & GORET, GEASSOCIEERDE NOTARISSEN;https://www.notdcg.be/
0843 526 054;DE FERM-VAN OOSTVELDT, GEASSOCIEERDE NOTARISSEN;https://www.notarisdeferm.be/
0843 359 768;NOTARISKANTOOR VAN LAERE & HENNISSEN, GEASSOCIEERDE NOTARISSEN;https://www.notarisvanlaere.be/
0842 333 746;VERHAEGEN, BUSSCHAERT & PIERRE-GEASSOCIEERDE NOTARISSEN;https://www.notaris-verhaegen.be/
0841 556 855;PROEFBEDRIJF PLUIMVEEHOUDERIJ, PROV. EXTERN VERZELF-STANDIGD;https://www.provincieantwerpen.be/provinciebestuur/extern-verzelfstandigde-agentschappen0/evap-proefbedrijf-pluimveehouderij-vzw.html
0840 452 342;MOEYKENS & VANQUATHEM, GEASSOCIEERDE NOTARISSEN;https://www.notabel.be/
0840 015 842;BRIX².BUILD;https://brix2.build/
0838 157 303;TH. VAN SINAY & J. CREYTENS, GEASSOCIEERDE NOTARISSEN;https://www.notariaatmeerbeke.be/drupal7/?q=nl/node/22
0824 569 482;CHRISTIAAN & JEROEN UYTTERHAEGEN, GEASSOCIEERDE NOTARISSEN;https://www.knu.be/
0823 737 658;COLSON & FAGARD, GEASSOCIEERDE NOTARISSEN;https://www.colsonfagard.be/
0809 489 744;DE DEYNE, VERHOEYE ACCOUNTANTS EN BELASTINGSCONSULENTEN;https://ddv.be/
0777 718 383;TURTELBOOM & VINDEVOGHEL, GEASSOCIEERDE NOTARISSEN;https://turtelboom-vindevoghel.be/
0771 965 590;NOTARIAAT 9070, GEASSOCIEERDE NOTARISSEN;https://www.moulin-vanderstraeten.be/
0753 509 559;CAUDRON, HERZEEL & BRECKPOT, GEASSOCIEERDE NOTARISSEN;https://www.notch.be/
0748 767 843;HENRIST, DE MULDER EN BULTEREYS, GEASSOCIEERDE NOTARISSEN;https://www.notariaat-bottelare.be/
0748 478 625;EVENEPOEL - DE BRAKELEER - MUYLAERT, GEASSOCIEERDE NOTARISSEN;https://www.evenepoel-debrakeleer.be/
0743 829 256;LAGA & LAGA, NOTARISSEN;https://www.notarislaga.be/
0743 488 370;NOTARISSEN NOORD, GEASSOCIEERDE NOTARISSEN;https://www.notarissennoord.be/
0742 533 614;OPSOMER & DE LANGE, GEASSOCIEERDE NOTARISSEN;https://www.notaris.be/Kantoor/opsomer-de-lange-geassocieerde-notarissen?locale=nl
0740 800 777;JADOUL, KESTELYN & GENICOT;https://www.notarissen-tervuren.be/
0737 879 889;DIRK SMET EN NICOLAS RAEMDONCK, GEASSOCIEERDE NOTARISSEN;https://www.notaris-sgw.be/
0736 937 407;VAN ROOSBROECK & VANHOUTTEGHEM, GEASSOCIEERDE NOTARISSEN;https://www.notarisvanroosbroeck-mol.be/
0730 613 007;BOONE & DE JAEGER, GEASSOCIEERDE NOTARISSEN;https://www.boone-dejaeger.be/
0727 398 446;HILDE VERHOLEN & GERRIT LYBAERT, GEASSOCIEERDE NOTARISSEN;https://www.vlnot.be/
0719 832 446;GHESQUIERE, DE BRABANDERE & DEGRYSE, NOTARISVENNOOTSCHAP;https://gddnotarissen.be/
0715 422 807;DEJONGH, DE BOUNGNE & DE SMEDT, GEASSOCIEERDE NOTARISSEN;https://www.not2920.be/
0713 613 855;WEST, GEASSOCIEERDE NOTARISSEN;http://westnotarissen.be/
0705 873 156;INARI AGRICULTURE, NV;https://inari.com/
0695 567 303;STEFAN VAN TRICHT & WALTER GEERAERTS, GEASSOCIEERDE NOTARISSEN;https://www.vtgnotarissen.be/
0695 563 838;NOTAS, GEASSOCIEERDE NOTARISSEN;https://notasgent.be/
0680 494 590;DE VUYST & BERLENGE, GEASSOCIEERDE NOTARISSEN;https://www.devuyst-berlenge.be/
0674 697 752;SAM, STEUNPUNT MENS EN SAMENLEVING;https://www.samvzw.be/
0662 358 164;SCHAEKEN & VANHENCXTHOVEN, GEASSOCIEERDE NOTARISSEN;https://www.svnotarissen.be/
0661 905 927;BRIGITTE VERMEERSCH & MANIOLA SPITAELS, GEASSOCIEERDE NOTARISSEN;https://www.notariaathorebeke.be/
0653 850 274;KAREL VANBEYLEN & BRECHT REYNTJENS, GEASSOCIEERDE NOTARISSEN;https://www.notariaatvanbeylen.be/
0644 450 380;MEEMOO, VLAAMS INSTITUUT VOOR HET ARCHIEF;https://meemoo.be/nl
0562 867 739;DE CLEENE & DE DEKEN, GEASSOCIEERDE NOTARISSEN;https://www.notddc.be/
0543 330 256;VANDER HEYDE, VAN OPSTAL & VAN TIEGHEM, GEASSOCIEERDE NOTARISSEN;https://www.vvvnotarissen.be/
0525 863 526;KOEN VERMEULEN, MARIJKE MELLAERTS & VALERIE MAUSSEN, GEASSOCIEERDE;https://www.notariskoenvermeulen.be/
0480 128 026;STEPHANE SAEY, WIM TAELMAN, LUCAS DEGANDT, GEASSOCIEERDE NOTARISSEN;https://notarissen-deerlijk.be/
0479 923 039;TOPFF, LOPEZ-HERNANDEZ & LAUWERS, GEASSOCIEERDE NOTARISSEN;http://www.tlnot.be/
0478 937 795;TIMMERMANS,MEURIS &CLAES;https://www.3270notaris.be/
0478 377 076;VAN CAUWENBERGHE & GOESAERT, GEASSOCIEERDE NOTARISSEN;https://www.mvcnotariaat.be/
0475 165 782;PHILIPPE VERLINDEN, NOTARIS;https://www.notariaatrijkevorsel.be/
0473 722 759;DEFLANDER, VANBERGHEN & KENNIS, GEASSOCIEERDE NOTARISSEN;https://www.notarisdeflanderenvanberghen.be/
0471 669 428;MICHIELS, STROEYKENS & PELGRIMS;https://www.notarissen-msp.be/
0464 846 467;VAN BOUWEL, VERKOOP EN SERVICE;https://www.vanbouwel-kranen.be/
0459 630 837;HET ACCOUNTANTSKANTOOR, SOENEN & GRAMMENS;https://www.hetaccountantskantoor.be/
0454 880 213;CARPENTIER, LAND- EN GRONDWERKEN;http://www.nv-carpentier.be/
0452 421 757;THIELEMANS & C°;https://www.thielemans.be/
0450 490 071;KORTRIJKS OCTROOI, MERKEN EN MODELLEN BUREAU;https://www.kob.be/
0448 325 387;ARCHITEAM, MULTIPROFESSIONELE ARCHITECTENVENNOOTSCHAP;https://architeam.be/
0447 678 754;COMPTE PIERRE, ENTREPRISES GENERALES;http://www.comptepierre.be/
0445 851 293;MAZARS ACCOUNTING, LEGAL, TAX & OUTSOURCING SERVICES;https://www.mazars.be/
0445 798 439;ONTHAAL, ORIENTATIE, EN OBSERVATIECENTRUM ELKEEN;http://www.elkeen.be/
0439 562 725;ARGOS, CENTRUM VOOR VORMINGS- EN ACTIVERINGSPROJECTEN;https://www.argosvzw.be/html/info/over_argosvzw.html
0439 209 763;DRIESMANS EN C°;https://www.driesmans.be/
0436 862 759;INDEPENDENT CONTAINER LINE, EUROPE;https://www.icl-ltd.com/
0435 296 111;VERMAELEN L. & C°;https://www.vermaelenbvba.be/
0427 897 088;CALLENS, PIRENNE THEUNISSEN & CO, BEDRIJFSREVISOREN;https://www.callens.be/
0424 746 865;VANDECASTEELE MARC & C°;https://www.castle-line.be/nl
0423 896 631;DE VOS, PETRUS & ZOON;https://devosdakwerken.be/
0423 640 075;SUMI, SMART & CONNECTED BUILDINGS;http://sumismart.com/en/
0420 063 052;DE TOUTER, CENTRUM VR INTEGRALE BEGELEIDING VAN GEZINNEN,;https://www.detouter.be/
0416 189 782;VERHEGGE, MARC;http://www.firmaverhegge.be/
0415 500 488;ALGEMENE ONDERNEMINGEN L. MERTENS EN C°;https://www.mertensbouw.be/
0413 350 751;MONTE ROSA,JEUGDZORG VAN DE ZUSTERS DER CHRISTELIJKE SCHOLEN;https://devliegervzw.be/
0411 944 845;BROUWERS, OPVOLGERS C. ROEVENS;https://www.roevens-tegel.be/
0410 119 661;VKW-LIMBURG, DE LIMBURGSE WERKGEVERSORGANISATIE;https://www.vkwlimburg.be/
0407 703 470;ONTHAAL-, OBSERVATIE- EN ORIENTATIECENTRUM TER HEIDE;https://www.ooocterheide.be/
0406 878 079;BUONSENSO, FRANCESCO;https://buonsenso.be/
0406 088 520;H. MARTLE EN ZONEN, VERVOERONDERNEMING B.V.B.A;https://www.martle.be/nl
0404 663 016;SMEETS & C°;https://www.smeetswarmteservice.be/
0434 020 857;LIGO, CENTRUM VOOR BASISEDUCATIE ANTWERPEN;https://www.ligo.be/antwerpen
0462 203 119;DE SCHOMMEL, CENTRUM VOOR KINDERZORG EN GEZINSONDERSTEUNING;https://www.ckgdeschommel.be/
0870 779 490;DE HOOP, VOORZIENING VOOR PERSONEN MET EEN HANDICAP;https://dehoopzottegem.be/
0477 024 818;KOOR & STEM, ORGANISATIE VOOR VOCALE MUZIEK;https://www.koorenstem.be/nl
0413 845 055;PRAKTIJKPUNT LANDBOUW VLAAMS-BRABANT, PROV. EXTERN;https://praktijkpuntlandbouw.be/
0416 252 536;KATHOLIEKE SCHOLEN: REGIO GENT-ZUID, LAND VAN RHODE;https://www.sg-landvanrhode.be/contact-2/
0421 988 897;JOKER - JONG TOERISME, JOKER - YOUTH TOURISM;http://www.fsma.be/nl/party/joker-jong-toerisme-joker-youth-tourism
0407 404 651;KLOOSTER - HOSPITAAL, ZUSTERS VAN LIEFDE VAN KORTEMARK;https://zustersvanliefde.be/
0449 514 133;INITIATIEVEN VOOR KORTVERBLIJF, OPPAS EN OPVANG;https://www.desocialekaart.be/het-passantenhuis-initiatieven-voor-kortverblijf-oppas-en-opvang-526682
0463 009 209;DE STAP, CENTRUM VOOR KINDERZORG EN GEZINSONDERSTEUNING;https://www.ckgdestap.be/
0409 662 573;ZUSTERS VAN LIEFDE VAN J.M., NEDERLANDSTALIGE PROVINCIE;https://www.zustersvanliefdejm.org/
0890 591 246;BOEKHOUDKANTOOR HEIVERS, SCHELLENS & PARTNERS;https://www.boekhouderstotaal.be/accountants/boekhoudkantoor-heivers-schellens-partners-ranst
0405 093 774;BOUDEWIJNPARK, SPORT, KUNST-EN ONTSPANNINGSCENTRUM;https://www.boudewijnseapark.be/
0415 434 865;HET VEER, CENTRUM VOOR AMBULANTE REVALIDATIE VZW;http://www.hetveer.be/
0466 159 432;DE KRINGWINKEL VLAAMSE ARDENNEN, SOCIALE WERKPLAATS;https://www.dekringwinkel.be/zuidoostvlaanderen
0432 220 320;DE POORT VZW, VOOR WONEN EN WERK;https://www.depoortvzw.be/
0417 474 241;INAGRO, PROV. EXTERN VERZELFSTANDIGD AGENTSCHAP IN;https://inagro.be/
0408 159 370;CAPENBERG, OXACO-CENTER;https://www.capenberg.com/
0213 809 081;MILIEUZORG ROESELARE-MENEN, MENEN;https://search.arch.be/de/zoeken-naar-archiefvormers/zoekresultaat?view=eac&languageCode=DUT&sort=place&direction=asc&inLanguageCode=DUT&identity_entityType=corporateBody&localDescription_term_source=P5162&start=218
0410 064 629;PREMED, PREVENTIE EN BESCHERMING;https://www.premed.be/
0447 982 919;DE CEUNYNCK & C°;https://www.deceunynck.be/nl
0436 612 044;IBEVE, INSTITUUT VOOR BEDRIJFSVEILIGHEID;https://www.ibeve.be/
0419 044 057;AVONDZON, ERPE;https://avondzon.be/
0461 862 035;MAC² SOLUTIONS;https://www.mac-2.be/
0461 563 315;SINT-JOZEF, WONEN, LEVEN EN ZORG,SINT-MICHIELS BRUGGE;https://sintjozef-wzc-sintmichiels.be/
0473 762 450;ZUSTERHOF, WOON- EN ZORGCENTRUM VOOR OUDEREN;https://www.zusterhof.be/
0672 721 526;MAC² MARITIEM;https://www.mac-2.be/
0444 830 320;POPONCINI & LOOTENS, IR. ARCHITECTEN;https://polo-platform.eu/
0414 011 737;BOUWBEDRIJF WILLEMS & C°;http://www.wilbouw.be/
0412 744 205;VANSANT, JV ELECTRICITEITSBEDRIJF;https://www.vansant.be/
0469 920 260;CELIS, CELIS & LIESSE;https://www.notaris-celis.be/
0422 152 314;ST.- BARBARA, WOON - EN ZORGCENTRUM;https://www.sintbarbara.be/
0439 926 375;GRANT THORNTON ACCOUNTANCY, TAX & LEGAL;https://www.grantthornton.be/en/
0421 359 783;MALCA - AMIT, ANTWERP;https://www.malca-amit.com/
0432 390 267;SGS EMERGENCY, WASTE & CHEMICAL SERVICES;https://www.sgs.be/en/solutions/emergency-waste-and-chemical-services
